Medication,Medication JSON (ground truth),Medication prompt (sentence format),Drug name,Numerical dose,unit,volume,volume unit of measure,concentration,formulation unit of measure,formulation,route,frequency
Doxycycline monohydrate,Doxycycline monohydrate 100 mg (20 mL) of the 5mg/mL suspension by mouth twice daily,An oral suspension of doxycycline monohydrate (5 mg/mL) is used to administer a 100 mg (20 mL) dose by mouth twice daily.,Doxycycline monohydrate,100,mg,20,mL,5,mg/mL,suspension,by mouth,twice daily
Sildenafil,Sildenafil 20 mg (2 mL) of the 10mg/mL suspension by mouth three times daily,"Using a 10mg/mL suspension, give the patient 20mg of sildenafil (a total of 2mL) by mouth three times daily",Sildenafil,20,mg,2,mL,10,mg/mL,suspension,by mouth,three times daily
Valproic acid,Valproic acid 500 mg (10 mL) of the  250mg/5mL solution by mouth every 6 hours,"Using a 250mg/5mL solution, administer a dose of 500mg of valproic acid (10mL) every 6 hours by mouth",Valproic acid,500,mg,10,mL,50,mg/mL,solution,by mouth,every 6 hours
Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution by mouth four times daily,Give 5mL of vancomycin (125mg using a 25mg/mL solution) by mouth four times daily,Vancomycin,125,mg,5,mL,25,mg/mL,solution,by mouth,four times daily
Ciprofloxacin,Ciprofloxacin 500 mg (10 mL) of the 250mg/5mL suspension by mouth every 12 hours,Give ciprofloxacin 500mg using 10mL of the 250mg/5mL suspension to the patient by mouth every 12 hours.,Ciprofloxacin,500,mg,10,mL,50,mg/mL,suspension,by mouth,every 12 hours
Enalapril,Enalapril 5 mg (5 mL) of the 1mg/mL solution by mouth once daily,Enalapril 5mL (5mg) oral solution once daily by mouth using the 1mg/mL solution,Enalapril,5,mg,5,mL,1,mg/mL,solution,by mouth,once daily
Gabapentin,Gabapentin 400mg (8 mL) of the 250mg/5mL solution by mouth every 8 hours,Gabapentin - 8mL (400mg) by mouth every 8 hours using the 250mg/5mL solution,Gabapentin,400,mg,8,mL,50,mg/mL,solution,by mouth,every 8 hours
Nortriptyline,Nortriptyline 25 mg (12.5 mL) of the 10mg/5mL solution by mouth daily at bedtime,12.5mL of nortriptyline (25mg) using the 10mg/5mL solution must be given daily at bedtime by mouth,Nortriptyline,25,mg,12.5,mL,2,mg/mL,solution,by mouth,once daily at bedtime
Rivaroxaban,Rivaroxaban 15 mg (15 mL) of the 1mg/mL suspension by mouth twice daily,The patient is currently receiving 15mL of rivaroxaban 15 mg (using the 1mg/mL suspension) twice daily by mouth,Rivaroxaban,15,mg,15,mL,1,mg/mL,suspension,by mouth,twice daily
Terazosin,Terazosin 2 mg (2 mL) of the 1mg/mL solution by mouth once daily at bedtime,The patient is receiving 2mL of terazosin 2mg (1mg/mL oral solution) once daily at bedtime by mouth,Terazosin,2,mg,2,mL,1,mg/mL,solution,by mouth,once daily at bedtime
