Drug,type of order
Daily baby aspirin,verbal- green
Aspirin 81,verbal- green
Aspirin 81mg daily,verbal- green
Aspirin 81 mg,verbal- green
Atorvastatin 80,verbal- green
Atorva 80,verbal- green
Atorvastatin 80mg daily (or QPM) if preferred by the patient,verbal- green
Atorvastatin 80,verbal- green
Carvedilol 25 BID,verbal- green
Coreg 25 BID,verbal- green
Carvedilol 25mg twice daily,verbal- green
Carvedilol 25 mg,verbal- green
Hydralazine 25 TID,verbal- green
Hydral 25 TID,verbal- green
Hydralazine 25mg three times daily,verbal- green
Hydralazine 25 TID,verbal- green
PRN Tylenol,verbal- green
Tylenol 325 q4 PRN for headache,verbal- green
Tylenol 325mg every 4 hours as needed for headache,verbal- green
Tylenol 325 q4h PRN headache,verbal- green
"Warfarin 5mg Monday, Wednesday, Friday",verbal- green
"Warfarin 5 on Mondays, Wednesdays, and Fridays",verbal- green
"Warfarin 5mg tablet on Monday, Wednesday, and Friday",verbal- green
"Warfarin 5 mg on Mondays, Wednesday, and Fridays",verbal- green
PRN ibuprofen,verbal- green
Advil 800 q8 PRN,verbal- green
Ibuprofen 800mg every 8 hours as needed for pain,verbal- green
Ibuprofen 800 mg PRN pain,verbal- green
Lisinopril 5,verbal- green
Lisinopril 5mg in the morning,verbal- green
Lisinopril 5,verbal- green
Lisinopril 5 mg,verbal- green
Magnesium four times daily,verbal- green
MagOx 400 QID,verbal- green
Magnesium 400mg 4 times daily,verbal- green
Magnesium 400 QI,verbal- green
Rimegepant 75 every other day,verbal- green
Rimegepant 75 mg every other day,verbal- green
Rimegepant 75mg every other day,verbal- green
Rimegepant every other day,verbal- green
PRN oxy,verbal- green
Oxy 5 q4 PRN,verbal- green
Oxycodone 5mg as needed every 4 hours for pain,verbal- green
Oxycodone 5 q4h PRN severe pain,verbal- green
Amlodipine 10,verbal- green
Amlodipine 10,verbal- green
Amlodipine 10mg daily,verbal- green
Amlodipine 10 mg,verbal- green
Cyclobenzaprine QHS,verbal- green
Cyclobenzaprine 15 mg nightly,verbal- green
Cyclobenzaprine 15mg at bedtime,verbal- green
Flexeril 15 mg nightly,verbal- green
Amoxicillin,verbal- green
Amoxicillin 500 BID,verbal- green
Amoxicillin 500mg twice daily,verbal- green
Amoxicillin 500 mg BID,verbal- green
Double strength bactrim,verbal- green
Bactrim double-strength BID,verbal- green
Bactrim DS tablet twice daily,verbal- green
Bactrim twice daily,verbal- green
Prenatal vitamin,verbal- green
Prenatal vitamin,verbal- green
Prenatal vitamin daily,verbal- green
Prenatal vitamin,verbal- green
Metoprolol tartrate 25 q6,verbal- green
Metop 25 q6,verbal- green
Metoprolol tartrate 25mg every 6 hours,verbal- green
Metoprolol 25 mg every 6 hours,verbal- green
Sertraline 25,verbal- green
Sertraline 25 daily,verbal- green
Sertraline 25mg daily,verbal- green
Zoloft 25,verbal- green
Plavix,verbal- green
Plavix 75,verbal- green
Clopidogrel 75mg daily,verbal- green
Plavix 75,verbal- green
Oxy 10 q12,verbal- green
Oxy 10 Q12,verbal- green
Oxycodone 10mg every 12 hours,verbal- green
