Medication,Medication JSON without route,route
Doxycycline monohydrate,Doxycycline monohydrate 100 mg (20 mL) of the 5mg/mL suspension twice daily,by mouth
Sildenafil,Sildenafil 20 mg (2 mL) of the 10mg/mL suspension three times daily,by mouth
Valproic acid,Valproic acid 500 mg (10 mL) of the 250mg/5mL solution every 6 hours,by mouth
Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution four times daily,by mouth
Ciprofloxacin,Ciprofloxacin 500 mg (10 mL) of the 250mg/5mL suspension every 12 hours,by mouth
Enalapril,Enalapril 5 mg (5 mL) of the 1mg/mL solution once daily,by mouth
Gabapentin,Gabapentin 400mg (8 mL) of the 250mg/5mL solution every 8 hours,by mouth
Nortriptyline,Nortriptyline 25 mg (12.5 mL) of the 10mg/5mL solution daily at bedtime,by mouth
Rivaroxaban,Rivaroxaban 15 mg (15 mL) of the 1mg/mL suspension twice daily,by mouth
Terazosin,Terazosin 2 mg (2 mL) of the 1mg/mL solution once daily at bedtime,by mouth
