Entity,GPT-4o-mini,GPT-5 Chat,Gemma3,LLaMA3,Qwen3
Oral solid (n=40),,,,,
Drug Name,100.0%,100.0%,99.2%,97.5%,97.5%
Dose,97.5%,95.0%,96.7%,97.5%,95.0%
Dose Unit,100.0%,100.0%,99.2%,100.0%,100.0%
Amount,100.0%,90.8%,99.2%,100.0%,100.0%
Formulation,88.3%,90.0%,91.7%,96.7%,90.8%
Route,100.0%,100.0%,99.2%,97.5%,100.0%
Frequency,73.3%,89.2%,70.0%,73.3%,81.7%
Oral liquid (n=10),,,,,
Drug Name,100.0%,90.0%,90.0%,90.0%,90.0%
Dose,100.0%,100.0%,100.0%,100.0%,93.3%
Dose Unit,100.0%,100.0%,100.0%,100.0%,100.0%
Volume Amount,100.0%,100.0%,100.0%,100.0%,100.0%
Volume Unit,100.0%,100.0%,100.0%,100.0%,100.0%
Concentration,60.0%,60.0%,60.0%,60.0%,66.7%
Concentration Unit,83.3%,60.0%,90.0%,40.0%,66.7%
Formulation,100.0%,100.0%,90.0%,93.3%,90.0%
Route,83.3%,100.0%,100.0%,73.3%,100.0%
Frequency,80.0%,90.0%,80.0%,86.7%,83.3%
Intravenous intermittent (n=17),,,,,
Drug Name,90.2%,88.2%,92.2%,92.2%,88.2%
Dose,100.0%,100.0%,100.0%,96.1%,100.0%
Dose Unit,100.0%,100.0%,100.0%,98.0%,100.0%
Diluent Amount,100.0%,100.0%,100.0%,98.0%,100.0%
Volume Unit,100.0%,100.0%,100.0%,98.0%,100.0%
Compatible Diluent,100.0%,100.0%,100.0%,98.0%,100.0%
Infusion Time,94.1%,94.1%,94.1%,92.2%,94.1%
Frequency,94.1%,88.2%,88.2%,80.4%,84.3%
Intravenous push (n=17),,,,,
Drug Name,100.0%,100.0%,100.0%,100.0%,100.0%
Dose,100.0%,100.0%,100.0%,100.0%,100.0%
Dose Unit,100.0%,100.0%,100.0%,100.0%,100.0%
Diluent Amount,100.0%,100.0%,100.0%,100.0%,100.0%
Volume Unit,100.0%,100.0%,100.0%,100.0%,100.0%
Concentration,94.1%,94.1%,94.1%,94.1%,94.1%
Concentration Unit,100.0%,94.1%,100.0%,94.1%,98.0%
Formulation,86.3%,76.5%,76.5%,74.5%,76.5%
Frequency,88.2%,88.2%,88.2%,88.2%,88.2%
Intravenous continuous infusion titratable (n=11),,,,,
Drug Name,93.9%,90.9%,90.9%,93.9%,90.9%
Dose,81.8%,81.8%,81.8%,72.7%,81.8%
Dose Unit,81.8%,84.8%,81.8%,63.6%,81.8%
Diluent Amount,87.9%,81.8%,90.9%,81.8%,90.9%
Volume Unit,97.0%,84.8%,90.9%,81.8%,90.9%
Compatible Diluent,90.9%,100.0%,93.9%,100.0%,100.0%
Starting Rate,100.0%,100.0%,100.0%,100.0%,100.0%
Starting Rate Unit,81.8%,100.0%,100.0%,100.0%,100.0%
Titration Dose,93.9%,90.9%,90.9%,90.9%,90.9%
Titration Dose Unit,72.7%,90.9%,90.9%,90.9%,90.9%
Titration Frequency,75.8%,75.8%,84.8%,0.0%,93.9%
Titration Goal,54.5%,48.5%,57.6%,54.5%,45.5%
Intravenous continuous infusion non-titratable (n=6),,,,,
Drug Name,100.0%,100.0%,100.0%,100.0%,100.0%
Dose,66.7%,66.7%,66.7%,66.7%,66.7%
Dose Unit,83.3%,77.8%,83.3%,83.3%,88.9%
Diluent Amount,66.7%,66.7%,66.7%,66.7%,66.7%
Volume Unit,66.7%,66.7%,83.3%,66.7%,77.8%
Compatible Diluent,83.3%,83.3%,83.3%,83.3%,83.3%
Starting Rate,83.3%,83.3%,83.3%,83.3%,83.3%
Starting Rate Unit,88.9%,100.0%,100.0%,100.0%,100.0%
