Medication,Medication JSON without route,route
Amlodipine,Amlodipine 2.5 mg 1 tablet once daily,by mouth
Azithromycin,Azithromycin 250 mg 1 tablet once daily,by mouth
Baclofen,Baclofen 10 mg 1 tablet three times daily as needed for muscle spasms,by mouth
Baricitinib,Baricitinib 4 mg 1 tablet once daily,by mouth
Bisoprolol,Bisoprolol 2.5 mg 1 tablet once daily,by mouth
Carisoprodol,Carisoprodol 350 mg 1 tablet three times daily and at bedtime,by mouth
Carvedilol,Carvedilol 6.25 mg 1 tablet every 12 hours,by mouth
Citalopram,Citalopram 20 mg 1 tablet once daily,by mouth
Dexmethylphenidate,Dexmethylphenidate 10 mg 1 extended release capsule once daily,by mouth
Doxycycline,Doxycycline monohydrate 100 mg 1 tablet every 12 hours,by mouth
Duloxetine,Duloxetine 30 mg 1 delayed-release capsule once daily,by mouth
Entecavir,Entecavir 1 mg 1 tablet once daily,by mouth
Felodipine,Felodipine 5 mg 1 extended release tablet once daily,by mouth
Fenofibrate,Fenofibrate 145 mg 1 tablet once daily,by mouth
Furosemide,Furosemide 20 mg 1 tablet once daily as needed for weight gain over 5 lbs,by mouth
Hydroxyurea,Hydroxyurea 1000mg 2 capsules once daily,by mouth
Hydromorphone,Hydromorphone 4 mg 1 tablet every 4 hours as needed for pain,by mouth
Isosorbide Mononitrate,Isosorbide mononitrate 20 mg 1 tablet twice daily,by mouth
Ketoconazole,Ketoconazole 200 mg 1 tablet once daily,by mouth
Methocarbamol,Methocarbamol 1500 mg 3 tablets three times daily as needed for muscle spasms,by mouth
Methotrexate,Methotrexate 15 mg 1 tablet once weekly,by mouth
Modafinil,Modafinil 200 mg 1 tablet once daily in the morning,by mouth
Montelukast,Montelukast 10 mg 1 tablet once daily in the evening,by mouth
Omeprazole,Omeprazole 20 mg 1 delayed-release tablet once daily,by mouth
Ondansetron,Ondansetron 8 mg 1 orally-disintegrating tablet every 8 hours as needed for vomiting,by mouth
Pioglitazone,Pioglitazone 30 mg 1 tablet once daily,by mouth
Paroxetine,Paroxetine 20 mg 1 tablet once daily,by mouth
Quetiapine,Quetiapine 200 mg 1 extended release tablet once daily,by mouth
Quinapril,Quinapril 10 mg 1 tablet once daily,by mouth
Ropinirole,Ropinirole 2 mg 1 tablet three times daily,by mouth
Simvastatin,Simvastatin 20 mg 1 tablet once daily in the evening,by mouth
Temazepam,Temazepam 15 mg 1 capsule once daily at bedtime as needed for insomnia,by mouth
Tizanidine,Tizanidine 2 mg 1 capsule every 8 hours as needed for muscle spasms,by mouth
Tolterodine,Tolterodine 2 mg 1 extended-release capsule once daily,by mouth
Tramadol,Tramadol 50 mg 1 tablet every 6 hours as needed for pain,by mouth
Valacyclovir,Valacyclovir 1 g 1 tablet twice daily,by mouth
Vardenafil,Vardenafil 5 mg 1 tablet once daily,by mouth
Warfarin,"Warfarin 2.5 mg 1 tablet once daily on Mondays, Wednesdays, and Fridays",by mouth
Ziprasidone,Ziprasidone 20 mg 1 capsule twice daily with meals,by mouth
Zolpidem,Zolpidem 3.5 mg 1 sublingual tablet once daily at bedtime,by mouth
