Medication,Medication JSON without route,Route
Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution once,intravenous push
Lorazepam,Lorazepam 4 mg (2 mL) of the 2 mg/ml vial solution every 5 minutes,intravenous push
Atropine,Atropine 1 mg (1mL) of the 1 mg/ml vial solution once,intravenous push
Haloperidol,Haloperidol 2 mg (0.4 mL) of the 5 mg/mL vial solution once,intravenous push
Succinylcholine,Succinylcholine 150 mg (7.5 mL) of the 20 mg/mL vial solution once,intravenous push
Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push
Etomidate,Etomidate 20 mg (10mL) of the 2 mg/mL vial solution once,intravenous push
Furosemide,Furosemide 20 mg (2 mL) of the 10 mg/mL vial solution once,intravenous push
Hydralazine,Hydralazine 10 mg (0.5 mL) of the 20 mg/mL vial solution once,intravenous push
Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push
Naloxone,Naloxone 0.04 mg (0.1 mL) of the 0.4 mg/mL vial solution once,intravenous push
Ondansetron,Ondansetron 4 mg (2 mL) of the 2 mg/mL vial solution every 6 hours,intravenous push
Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution every 4 hours,intravenous push
Rocuronium,Rocuronium 80 mg (8 mL) of the 10 mg/mL vial solution once,intravenous push
Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution every 8 hours,intravenous push
Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push
Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push
