order,communication_type,route,medication_category,response_p1,response_p2,llm_appropriate,llm_medmatch_appropriate
Daily baby aspirin,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Aspirin 81,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Atorva 80,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Coreg 25 BID,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Atorvastatin 80,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Aspirin 81 mg,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Atorvastatin 80,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Atorvastatin 80mg daily (or QPM) if preferred by the patient,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Carvedilol 25mg twice daily,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Carvedilol 25 BID,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydralazine 25 TID,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Aspirin 81mg daily,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydral 25 TID,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Tylenol 325 q4 PRN for headache,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
PRN Tylenol,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Carvedilol 25 mg,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydralazine 25 TID,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Tylenol 325 q4h PRN headache,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Warfarin 5mg Monday, Wednesday, Friday",verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Tylenol 325mg every 4 hours as needed for headache,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
PRN ibuprofen,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Warfarin 5 mg on Mondays, Wednesday, and Fridays",verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Warfarin 5 on Mondays, Wednesdays, and Fridays",verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Warfarin 5mg tablet on Monday, Wednesday, and Friday",verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Ibuprofen 800mg every 8 hours as needed for pain,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Advil 800 q8 PRN,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Ibuprofen 800 mg PRN pain,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Lisinopril 5,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Lisinopril 5 mg,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Magnesium four times daily,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Hydralazine 25mg three times daily,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Magnesium 400mg 4 times daily,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
MagOx 400 QID,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Lisinopril 5,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Magnesium 400 QI,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Lisinopril 5mg in the morning,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Rimegepant 75 mg every other day,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Rimegepant 75 every other day,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Rimegepant every other day,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
PRN oxy,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Oxycodone 5 q4h PRN severe pain,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Oxycodone 5mg as needed every 4 hours for pain,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxy 5 q4 PRN,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Rimegepant 75mg every other day,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Amlodipine 10,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Amlodipine 10,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Cyclobenzaprine 15mg at bedtime,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cyclobenzaprine 15 mg nightly,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Amoxicillin,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Amlodipine 10mg daily,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amoxicillin 500 BID,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amlodipine 10 mg,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Flexeril 15 mg nightly,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Amoxicillin 500 mg BID,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Amoxicillin 500mg twice daily,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Cyclobenzaprine QHS,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Bactrim DS tablet twice daily,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Bactrim double-strength BID,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Bactrim twice daily,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Prenatal vitamin,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Prenatal vitamin,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Prenatal vitamin daily,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Metop 25 q6,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Metoprolol tartrate 25 q6,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Prenatal vitamin,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Metoprolol 25 mg every 6 hours,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Metoprolol tartrate 25mg every 6 hours,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Sertraline 25,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Sertraline 25 daily,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Zoloft 25,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Double strength bactrim,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Sertraline 25mg daily,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Plavix 75,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Plavix,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Plavix 75,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Clopidogrel 75mg daily,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxy 10 q12,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Oxycodone 10mg every 12 hours,verbal,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Oxy 10 Q12,verbal,oral_solid,Oral,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Aspirin 81 mg take 1 tablet by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Aspirin 81 mg by mouth daily,formal_written,oral_solid,Oral,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
