dataset,display_route_type,run,model,display_model,medication,prompt,ground_truth,normalized_ground_truth,response,normalized_response
po_liquid,Oral liquid,1,gpt-4o-mini,GPT-4o-mini,Valproic acid,Valproic acid 500 mg (10 mL) of the 250mg/5mL solution every 6 hours,by mouth,by mouth,Intravenous intermittent,intravenous intermittent
po_liquid,Oral liquid,1,gpt-4o-mini,GPT-4o-mini,Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution four times daily,by mouth,by mouth,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,1,gpt-4o-mini,GPT-4o-mini,Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution every 8 hours,intravenous push,intravenous push,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,1,gpt-4o-mini,GPT-4o-mini,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,Subcutaneous,subcutaneous
iv_push,Intravenous push,1,gpt-4o-mini,GPT-4o-mini,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,1,gpt-4o-mini,GPT-4o-mini,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,1,gpt-4o-mini,GPT-4o-mini,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,1,gpt-4o-mini,GPT-4o-mini,Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution every 4 hours,intravenous push,intravenous push,Intravenous intermittent,intravenous intermittent
po_liquid,Oral liquid,2,gpt-4o-mini,GPT-4o-mini,Vancomycin,Vancomycin 125 mg (5 mL) of the 25mg/mL solution four times daily,by mouth,by mouth,Intravenous intermittent,intravenous intermittent
po_liquid,Oral liquid,2,gpt-4o-mini,GPT-4o-mini,Valproic acid,Valproic acid 500 mg (10 mL) of the 250mg/5mL solution every 6 hours,by mouth,by mouth,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,2,gpt-4o-mini,GPT-4o-mini,Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution once,intravenous push,intravenous push,Subcutaneous,subcutaneous
iv_push,Intravenous push,2,gpt-4o-mini,GPT-4o-mini,Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,gpt-4o-mini,GPT-4o-mini,Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution twice daily,intravenous push,intravenous push,by mouth,by mouth
iv_push,Intravenous push,2,gpt-4o-mini,GPT-4o-mini,Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution every 8 hours,intravenous push,intravenous push,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,2,gpt-4o-mini,GPT-4o-mini,Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution every 4 hours,intravenous push,intravenous push,Intravenous intermittent,intravenous intermittent
iv_push,Intravenous push,2,gpt-4o-mini,GPT-4o-mini,Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution once daily,intravenous push,intravenous push,By mouth,by mouth
iv_push,Intravenous push,2,gpt-4o-mini,GPT-4o-mini,Ondansetron,Ondansetron 4 mg (2 mL) of the 2 mg/mL vial solution every 6 hours,intravenous push,intravenous push,Intravenous intermittent,intravenous intermittent
po_liquid,Oral liquid,3,gpt-4o-mini,GPT-4o-mini,Valproic acid,Valproic acid 500 mg (10 mL) of the 250mg/5mL solution every 6 hours,by mouth,by mouth,Intravenous intermittent,intravenous intermittent
