Drug,type of order
Stress dose steroids,verbal- green
Hydrocort 50q6,verbal- green
Hydrocortisone 50mg IV every 6 hours,verbal- green
Hydrocortisone 50 q6h,verbal- green
Ceftriaxone 2000mg administer 2000mg IV push every 24 hours,formal written-blue
Cefazolin 2000mg administer 2000mg IV push every 8 hours,formal written-blue
" Cefazolin 2000 mg, reconstitute with 5 mL sterile water for injection, then infusion intravenous push over 5 minutes every 8 hours",formal written-blue
Hydrocortisone 50mg administer 50mg as an IV push every 6 hours,formal written-blue
Hydrocortisone 50 mg intravenous every 6 hours,formal written-blue
Hydrocortisone 100 mg reconstituted solution- administer 50mg intravenously every 6 hours,formal written-blue
Hydrocortisone 50 mg intravenous push over 1 minute every 6 hours,formal written-blue
Hydrocortisone 50mg q6h,brief written-orange
Hydrocortisone 50mg q6h,brief written-orange
Hydrocortisone 50mg IV Q6h,brief written-orange
Hydrocortisone 50 mg IV q6h,brief written-orange
Rocephin 2gm,verbal- green
Ceftriaxone 2 q24,verbal- green
Ceftriaxone 2g daily,verbal- green
Ceftriaxone 2 gm,verbal- green
Ancef 2g,verbal- green
Cefazolin 2q8,verbal- green
Cefazolin 2 g every 8 hours,verbal- green
Cefazolin 2 gm q8,verbal- green
Ceftriaxone 2000 mg intravenous every 24 hours,formal written-blue
Ceftriaxone 2000 mg reconstituted vial- administer 2000mg intravenously every 24 hours,formal written-blue
Cefazolin 2000 mg intravenous every 8 hours,formal written-blue
Cefazolin 2000 mg/100ml 4% dextrose solution- administer 2000 mg intravenously every 8 hours,formal written-blue
Ceftriaxone 2gm q24h,brief written-orange
Ceftriaxone 2g q24h,brief written-orange
Ceftriaxone 2 g q24,brief written-orange
Ceftriaxone 2 gm q24h,brief written-orange
Cefazolin 2gm q8h,brief written-orange
Cefazolin 2g q8h,brief written-orange
Cefazolin 2gm q8h,brief written-orange
Cefazolin 2 gm IV q8h,brief written-orange
