Medication,Medication JSON without route,Route
Amiodarone,Amiodarone 150 mg in 100 mL of D5W over 10 minutes once,Intravenous intermittent
Linezolid,Linezolid 600 mg in 300 mL of D5W over 60 minutes every 12 hours,Intravenous intermittent
Potassium Chloride,Potassium chloride 10 mEq in 100 mL of sterile water over 60 minutes once,Intravenous intermittent
Bumetanide,Bumetanide 4 mg in 50 mL of 0.9% sodium chloride over 60 minutes twice daily,Intravenous intermittent
Levetiracetam,Levetiracetam 1000 mg in 100 mL 0.9% sodium chloride over 15 minutes every 12 hours,Intravenous intermittent
Piperacillin-tazobactam,Piperacillin-tazobactam 4.5 g in 100 mL of 0.9% sodium chloride over 30 minutes every 8 hours,Intravenous intermittent
Ceftazidime,Ceftazidime 1000 mg in 100 mL of 0.9% sodium chloride over 3 hours every 8 hours,Intravenous intermittent
Diphenhydramine,Diphenhydramine 50 mg in 50 mL of 0.9% sodium chloride over 15 minutes daily,Intravenous intermittent
Thiamine,Thiamine 400 mg in 50 mL of 0.9% sodium chloride over 30 minutes every 24 hours,Intravenous intermittent
Meropenem,Meropenem 2000 mg in 100 mL of 0.9% sodium chloride over 30 minutes every 8 hours,Intravenous intermittent
Vancomycin,Vancomycin 1250 mg in 275 mL of 0.9% sodium chloride over 90 minutes every 12 hours,Intravenous intermittent
Acetaminophen,Acetaminophen 1000 mg in 100 mL of sterile water over 15 minutes every 6 hours,Intravenous intermittent
Micafungin,Micafungin 100 mg in 100 mL of 0.9% sodium chloride over 60 minutes every 24 hours,Intravenous intermittent
Iron Sucrose,Iron Sucrose 200 mg in 100 mL of 0.9% sodium chloride over 15 minutes once daily for 5 days,Intravenous intermittent
Acyclovir,Acyclovir 5 mg/kg in 250 mL of 0.9% sodium chloride over 60 minutes every 12 hours,Intravenous intermittent
Methylprednisolone,Methylprednisolone 125 mg in 50 mL of 0.9% sodium chloride over 30 minutes every 24 hours,Intravenous intermittent
Sodium Phosphate,Sodium Phosphate 15 mmol in 100 mL of D5W over 2 hours as needed for phosphorus replacement,Intravenous intermittent
